Date,opening_price,highest_price,lowest_price,closing_price,transactions_in_blockchain,avg_block_size,sent_by_adress,avg_mining_difficulty,avg_hashrate,mining_profitability,sent_coins_in_usd,avg_transaction_fees,median_transaction_fees,avg_block_time,avg_transaction_value,median_transaction_value,tweets,google_trends,active_addresses,top100_to_total_percentage,avg_fee_to_reward,number_of_coins_in_circulation,miner_revenue,next_day_closing_price
2013-01-02,13.24,13.24,12.77,13.22,39280,114077,31809,2979637,22804647966378,2233,23851896,0.0108,0.0066,9.412,650.617,14.514,8193,1.497,43104,19.597,0.835,10621575.0,54865.2515428784,13.09
2013-01-03,13.12,13.19,12.98,13.09,42147,108023,38197,2979637,23724885599725,2276,20921297,0.0118,0.00661,8.889,542.73,19.732,8193,1.798,51268,19.621,0.925,10628700.0,48118.33062,13.19
2013-01-04,13.09,13.26,12.96,13.19,48436,141811,34990,2979637,22608181137438,2259,29527613,0.0105,0.00661,9.412,632.431,11.384,8193,1.841,47341,19.54,1,10632425.0,50872.74,13.19
2013-01-05,13.12,13.24,12.84,13.19,39455,118240,38008,2979637,22590695489434,2074,26851599,0.0105,0.00659,10.213,697.556,13.945,8193,1.826,53417,19.543,0.885,10633200.0,51396.7254939,13.15
2013-01-06,13.19,13.19,13.03,13.15,32881,100608,30021,2979637,20766588964922,2313,13548598,0.0139,0.00656,9.931,436.105,17.618,8193,2.187,42211,19.604,0.957,10640150.0,56968.815,13.15
2013-01-07,13.11,13.15,13.06,13.15,40120,105401,36724,2979637,22756576696243,2450,18447916,0.0118,0.00658,8.571,486.251,16.037,8193,1.755,54056,19.625,0.852,10643750.0,50189.07,13.2
2013-01-08,13.1,13.2,13.04,13.2,38491,149304,36179,3117637,24719180815853,1821,27562665,0.0113,0.0067,10.827,744.377,18.512,8193,1.769,56022,19.395,0.969,10647100.0,57332.7336966342,13.5
2013-01-09,13.2,13.5,13.05,13.5,43060,148337,38443,3249550,21163320169266,2110,22021685,0.0104,0.0068,11.077,540.729,20.472,8193,2.029,56161,19.385,1.002,10644700.0,54444.64,13.58
2013-01-10,13.51,13.65,13.18,13.58,52392,163683,42349,3249550,23101885953482,2279,17237235,0.0403,0.00688,9.796,348.476,12.945,8193,2.087,61185,19.35,4.018,10653775.0,43886.66931,14.0
2013-01-11,13.67,14.19,13.5,14.0,52632,187176,45401,3249550,21315082748716,1947,17459727,0.0113,0.00699,12.308,352.523,13.592,8193,1.612,61054,19.382,1.436,10656750.0,46836.7646266896,14.0
2013-01-12,14.0,14.1,13.85,14.0,45549,163098,34944,3249550,18906011810546,2283,12066780,0.0113,0.00699,11.803,299.217,13.891,8193,1.626,50736,19.376,1.191,10656000.0,44161.158,13.89
2013-01-13,14.02,14.07,13.84,13.89,49308,162367,38777,3249550,20444276895310,2291,11462715,0.0111,0.00696,10.827,248.573,9.725,8193,2.13,55503,19.284,1.168,10663650.0,55555.5,13.64
2013-01-14,13.94,14.03,13.54,13.64,44403,127110,31757,3249550,23357300816187,2370,14787333,0.011,0.00699,9.172,350.094,10.311,8193,1.698,44312,19.236,0.884,10666825.0,65275.0050160575,14.1
